,Host,Dokumente,Land,Date
1117,Repositório da Universidade dos Açores,1197,pt,2009-04-02
1118,Georg-Simon-Ohm-Hochschule Nürnberg: OhmDok,49,de,2009-04-02
1119,Bradford Scholars@University of Bradford,2551,uk,2009-04-02
1120,Utah State University: DigitalCommons@USU,24506,us,2009-03-05
1121,"Volunteer Voices - Tennessee Electronic Library, The University of Tennessee,",4124,us,2009-03-03
1122,"Vanderbilt University, Nashville: DiscoverArchive",4463,us,2009-03-03
1123,University of Nebraska–Lincoln: UNL Libraries Digital Collections,297600,us,2009-03-03
1124,Universidad Nacional Autónoma de México (UNAM): Repositorio de la Facultad de Filosofia y Letras (RU-FFYL),1931,mx,2009-03-03
1125,ULB Düsseldorf: Digitale Sammlungen (Universitäts- und Landesbibliothek),12907,de,2009-03-03
1126,Tropicos.org (Missouri Botanical Garden),85417,us,2009-03-03
1127,The Univ. of Western Ontario: Scholarship@Western,5595,us,2009-03-03
1128,Search4Dev - Digital Publications by Dutch development organizations,2606,nl,2009-03-03
1129,SEALS (Swiss Electronic Library Service): Digitalisierte Zeitschriften,216257,ch,2009-03-03
1130,Public Broadcasting Service (PBS),7,us,2009-03-03
1131,NIFS - National Institute of Fitness and Sports in Kanoya Repository / 鹿屋体育大学学術情報リポジトリ,6481,jp,2009-03-03
1132,"National University of Ireland (NUI), Galway: ARAN",1665,ie,2009-03-03
1133,"Institute of Social Studies, Den Haag: ISS Digital Repository",135,nl,2009-03-03
1134,Helios (National Hellenic Research Foundation) / Ήλιος (Εθνικό Ίδρυμα Ερευνών),4296,gr,2009-03-03
1135,Dyuthi - Digital Repository of Cochin University of Science and Technology (Indien),2197,in,2009-03-03
1136,Cardiff Metropolitan's University: UWIC Repository  / Prifysgol Metropolitan Caerdydd,3018,uk,2009-03-03
1137,University of Hull: Hydra,646,uk,2009-03-02
1138,UNIT - Univ. Numérique Ingénierie et Technologie (Frankreich),1001,fr,2009-03-02
1139,Turku Centre for Computer Science (TUCS),5916,fi,2009-03-02
1140,Repositório acadêmico de Biblioteconomia e Ciência da Informação (RABCI),58,br,2009-03-02
1141,Repository@Napier (Napier Univ. Edinburgh),3239,uk,2009-03-02
1142,"Psycho-Pharmacology & Biological Narcology (PPBN, E-Journal)",991,ru,2009-03-02
1143,Iowa Research Online -  Univ. of Iowa,9184,us,2009-03-02
1144,International Pacific Univ.: IPU Repository / 環太平洋大学,62,jp,2009-03-02
1145,Galiciana: Biblioteca Dixital de Galicia,133999,es,2009-03-02
1146,Fondo Fotográfico de la Universidad de Navarra:  Fotografía sobre España en el siglo XIX,4075,es,2009-03-02
1147,Elbląska Biblioteka Cyfrowa / Stadtbibliothek Elbing,32648,pl,2009-03-02
1148,e-docUR (Repositorio Institutional de la Univ. del Rosario),1665,co,2009-03-02
1149,"Billington Library Digital Collections, Johnson County Community College  (JCCC)",11985,us,2009-03-02
1150,Biblioteca Virtual del Principado de Asturias,7266,es,2009-03-02
1151,Biblioteca Virtual de la Rioja (Host: Gobierno de La Rioja),1004,es,2009-03-02
1152,"Biblioteca Virtual de la Fundación Sierra Pambley, León",84,es,2009-03-02
1153,Biblioteca Valenciana Digital,7499,es,2009-03-02
1154,Biblioteca Digital de la Real Academia de Jurisprudencia (Host: Instituto de España),1141,es,2009-03-02
1155,Biblioteca Digital de la Comunidad de Madrid,44833,es,2009-03-02
1156,Médiathèques de l'agglomération Troyenne (Frankreich),12617,fr,2009-02-27
1157,Florida State Univ.: Libraries Digital Collections,81880,us,2009-02-27
1158,"Biblioteca Virtual del Patrimonio Bibliográfico (Host: Ministerio de Cultura, Spanien)",38925,es,2009-02-27
1159,University of Saskatchewan: eCommons@USASK,206,ca,2009-02-26
1160,Univ. of Michigan Library: Digital Library Production Service,1831936,us,2009-02-26
1161,"North-West Univ., South Africa",6205,za,2009-02-26
1162,"National Aerospace Laboratories Institutional Repository, Bangalore",4661,in,2009-02-26
1163,WSU Virtual Motor City (Wayne State Univ. Library),42888,us,2009-02-25
1164,"Università degli Studi di Roma ""Tor Vergata"": DSpace@Tor Vergata",1360,it,2009-02-25
1165,SURE: Shizuoka Univ. REpository / 静岡大学学術リポジトリ,5881,jp,2009-02-25
1166,Macquarie University Sydney: ResearchOnline,19340,au,2009-02-25
1167,eprints@USM (Univ. Sains Malaysia),24836,my,2009-02-25
1168,Dialnet: Articles (Host: Universidad de La Rioja),429309,es,2009-02-25
1169,"Centro Internacional de la Papa - International Potato Center (Lima, Peru)",528,pe,2009-02-25
1170,"Biblioteca Virtual Lastanosa (Instituto de Estudios Altoaragoneses, Spanien)",276,es,2009-02-25
1171,York St John Univ.: Institutional repository and digital archive,100,uk,2009-02-24
1172,SciELO Perú (Scientific Electronic Library Online),3615,pe,2009-02-24
1173,Hemeroteca Científica Catalana (IEC - Institut d'Estudis Catalans),1669,es,2009-02-24
1174,Edinburgh DataShare (Univ. of Edinburgh),9,uk,2009-02-24
1175,DocTA - Doctoral Theses Archive (Univ. Cattolica del Sacro Cuore),734,it,2009-02-24
1176,Digital Repository of Univ. of Zaragoza (ZAGUAN),3817,es,2009-02-24
1177,CEDA Repository (British Atmospheric Data Centre),793,uk,2009-02-24
1178,California Institute of Technology: CaltechBOOK,66,us,2009-02-24
1179,"Archive ARTXIKER Artxiboa (CCSD CNRS, Frankreich)",388,fr,2009-02-24
1180,"WHO SEAR Inst. Repository (World Health Organization, Regional Office for South-East Asia)",5970,th,2009-02-23
1181,EMD - Euskal Memoria Digitala,3053,es,2009-02-23
1182,ELARTU - Тернопiльський державний технiчний унiверситет iменi Iвана Пулюя (Ukraine),1225,ua,2009-02-23
1183,"DR-NTU (Digital Repository at Nanyang Technological Univ., Singapore)",5962,sg,2009-02-23
1184,BIDICAM (Biblioteca Digital de Castilla-La Mancha),26765,es,2009-02-23
1185,"White Rose eTheses Online (Univ. Leeds, Sheffield, York)",1837,uk,2009-02-12
1186,SSOAR - Social Science Open Access Repository,20666,de,2009-02-12
1187,Kakanien revisited (BM.W_F / Univ. Wien),884,at,2009-02-12
1188,"Graph Drawing E-print Archive (GDEA) - Univ. Köln, Informatik und Wirtschaftsinformatik",1715,de,2009-02-12
1189,Ball State University: Cardinal Scholar,21365,us,2009-02-12
1190,"ISTEC Publications (Istituto di Scienza e Tecnologia dei Materiali Ceramici, CNR)",135,it,2009-02-11
1191,"ISOF Publications (Istituto per la Sintesi Organica e la Fotoreattivita', CNR)",18,it,2009-02-11
1192,"ISAC Publications (Istituto di scienze dell'atmosfera e del clima, CNR)",3,it,2009-02-11
1193,"IMM Publications (Istituto per la Microelettronica e Microsistemi, CNR)",8,it,2009-02-11
1194,"IBIMET Publications (Istituto di Biometeorologia, CNR)",11,it,2009-02-11
1195,Biblioteca Digital - Universidad Icesi,57071,co,2009-02-10
1196,University of Patras: Dexameni / Πανεπιστήμιο Πατρών: Δεξαμένη,488,gr,2009-02-06
1197,Pleias (Ellenika Periodika 19u eona) / Πλειάς (ελληνικά περιοδικά 19ου αιώνα),38149,gr,2009-02-06
1198,"DigitalCommons@Colby (Colby College, Maine)",3652,us,2009-02-06
1199,DigitalCollections@SIT (World Learning),4809,us,2009-02-06
1200,"City University of New York, CUNY Graduate School of Journalism: Media Works",458,us,2009-02-06
1201,Nowohucka Biblioteka Cyfrowa / Nowa Huta Digital Library,1787,pl,2009-02-05
1202,Mountain West Digital Library - MWDL (Host: Utah Academic Library Consortium),202278,us,2009-02-05
1203,Biblioteka Cyfrowa Politechniki Śląskiej,1186,pl,2009-02-05
1204,Biblioteka Cyfrowa KLF UW / Digital Library of the Formal Linguistics Department at the University of Warsaw,229,pl,2009-02-05
1205,Utah State Univ.: USU Digital Initiatives,19554,us,2009-02-04
1206,SUCRA (Saitama Univ. Cyber Repository of Academic Resources) / 埼玉大学学術情報発信システム,15231,jp,2009-02-04
1207,Saga Univ. Institutional Repository / 佐賀大学機関リポジトリ,2432,jp,2009-02-04
1208,National Institute of Technology Rourkela (Indien): DSpace@nitr,1631,in,2009-02-04
1209,MEK - Magyar Elektronikus Könyvtár (Hungarian Electronic Library),3000,hu,2009-02-04
1210,Insight Journal (E-Journal),796,org,2009-02-04
1211,Brigham Young Univ. (BYU): Digital Collections,434179,us,2009-02-04
1212,Archeologia e Calcolatori (E-Journal),165,it,2009-02-04
1213,Univ. Nacional de Colombia: Repositorio Institucional de Acceso Abierto,5038,co,2009-02-03
1214,Oecologia Brasiliensis (E-Journal),329,br,2009-02-03
1215,"Johns Hopkins Univ., Baltimore: JScholarship",33571,us,2009-02-03
1216,"Inter-University Centre for Astronomy and Astrophysics (IUCAA), India: E-Journals",120,in,2009-02-03
1217,Institute of Biology of the Southern Seas (Ukraine): IBSS  E-Repository,2480,ua,2009-02-03
1218,Harvard Univ.: Harvard Collections,56934,us,2009-02-03
1219,Gunadarma Univ. Repository / Repositori Publikasi Ilmiah dan Teknologi,2062,id,2009-02-03
1220,FloridaHiddenTreasures.com,1338,us,2009-02-03
1221,Bollettino telematico di filosofia politica - Online Journal of Political Philosophy,75,it,2009-02-03
1222,Muroran Institute of Technology: Muroran-IT Academic Resources Archive / 国立大学法人 室蘭工業大学,918,jp,2009-02-02
1223,ISCTE - Inst. Superior de Ciências do Trabalho e da Empresa (Lissabon): Repositório,1176,pt,2009-02-02
1224,Inst. Brasileiro de Informação em Ciência e Tecnologia (IBICT): Dialogo Cientifico (DICI),665,br,2009-02-02
1225,"Edith Cowan Univ., Perth: Research Online @ ECU",10021,us,2009-02-02
1226,Doria (Host: National Library of Finland / Univ. of Helsinki),56793,fi,2009-02-02
1227,Brandeis Univ.: Brandeis Institutional Repository,4654,us,2009-02-02
1228,"Naturalis Digital Academic Repository (Nationaal Natuurhistorisch Museum, Niederlande)",3899,nl,2009-01-30
1229,Kochi Univ. Digital Repository for Academic Resources / 高知大学学術情報リポジトリ,4677,jp,2009-01-30
1230,Indiana University-Purdue University Indianapolis (IUPUI): eArchives,3177,us,2009-01-30
1231,IFIP - International Federation for Information Processing Digital Library (Australien),27188,au,2009-01-30
1232,DukeSpace at Duke Univ.,4368,us,2009-01-30
1233,Univ. of Zagreb Medical School Repository / Sveučilište u Zagrebu Repozitorij Medicinskog fakulteta,1050,hr,2009-01-29
1234,Univ. of Texas Arlington Institutional Repository,5748,us,2009-01-29
1235,Univ. of Minnesota Digital Conservancy,23649,us,2009-01-29
1236,OUR - Oita Univ. Institutional Repository / 大分大学学術情報リポジトリ,10776,jp,2009-01-29
1237,"Faculdade de Ciências e Tecnologia, Univ. Nova de Lisboa: DSpace at FCTUNL",3149,pt,2009-01-29
1238,Captura - Repositorio Academico de la Universidad de Chile,15309,cl,2009-01-29
1239,Animal Physiology and Livestock Systems Archive - INRA (Institut National de la Recherche Agronomique),340,fr,2009-01-29
1240,"Zhytomyr State Univ. Library, Ukraine: EPrints",2951,ua,2009-01-28
1241,Univ. St. Gallen: Forschungsplattform Alexandria,5509,ch,2009-01-28
1242,Univ. of Limerick Institutional Repository (ULIR),1883,ie,2009-01-28
1243,Univ. of Kent: KAR - Kent Academic Repository,22313,uk,2009-01-28
1244,"Superior Tribunal de Justiça, Brasilia: BDJur",38947,br,2009-01-28
1245,Arias Montano - Repositorio Institucional de la Univ. de Huelva,5209,es,2009-01-28
1246,"Universidad de los Andes, Bogotá: DSpace",905,co,2009-01-27
1247,Indian Institute of Astrophysics Repository (IIAP),5502,in,2009-01-27
1248,Intute (Host: The Univ. of Manchester),123180,uk,2009-01-26
1249,Vysoká škola báňská - Technická Univ. Ostrava: DSpace na VŠB-TUO,57945,cz,2009-01-22
1250,Univ. of Salford Institutional Repository,16246,uk,2009-01-22
1251,Univ. de Liège: ORBi (Open Repository and Bibliography),83328,be,2009-01-22
1252,"Sardar Vallabhbhai National Institute of Technology, Surat: ePrints@SVNIT",6,in,2009-01-21
1253,Ibaraki Univ.: Repository of Open Access Scholarly E-Collections (ROSE) / 茨城大学リポジトリいばらき,2242,jp,2009-01-21
1254,"Digital Repository of the Raman Research Institute (RRI), Bangalore",4451,in,2009-01-21
1255,seeKSpace: Environmental and Ecological Science Data Center for West China / 中国西部环境与生态科学数据中心,44712,cn,2009-01-16
1256,National Chengchi University Institutional Repository (NCCUIR) / 國立政治大學政大機構典藏,46836,tw,2009-01-16
1257,"DSpace at SciTech Media Center, Keio Univ., Japan / 慶應義塾大学理工学メディアセンタ",366,jp,2009-01-16
1258,"Mann Library / Cornell Univ.: Home Economics Archive: Research, Tradition and History (HEARTH)",975,us,2009-01-15
1259,Ciências Agrárias - Repositório Eletrônico do Departamento de Ciências Agrárias da UNITAU (Univ. de Taubaté),139,br,2009-01-15
1260,Univ. of Southampton: eCrystals,527,uk,2009-01-13
1261,Katholieke Hogeschool Limburg: DoKS,227,be,2009-01-13
1262,Univ. of Michigan Museum of Zoology: Animal Diversity Web,15326,us,2009-01-12
1263,mar - Museum Anthropology Review (E-Journal),1053,us,2009-01-12
1264,Journal of Intercultural and Interdisciplinary Archaeology: JIIA Eprints Repository,182,it,2009-01-12
1265,Electronic Resource Preservation and Access Network (ERPANET): ERPAePRINTS,82,eu,2009-01-12
1266,"e-WINDENG Journal (Wind Energy Assessment studies and Wind Engineering, Denmark)",7,eu,2009-01-12
1267,Univ. of Connecticut: Digital Mosaic,22014,us,2009-01-09
1268,Spontaneous Generations: A Journal for the History and Philosophy of Science,116,ca,2009-01-09
1269,Kanto Gakuin Univ. Inst. Repository (iLisSurf),992,jp,2009-01-09
1270,Aalborg Univ.: Publikationer,90395,dk,2009-01-09
1271,Univ. of Pretoria: UPSpace,15894,za,2009-01-08
1272,Univ. of Oregon Scholars' Bank,10304,us,2009-01-08
1273,Tohoku Univ. Repository (TOUR): Research and Education / 東北大学機関リポジトリ,39717,jp,2009-01-08
1274,The Linnean Society of London: Linnean Collections,24459,uk,2009-01-08
1275,"Scuola Internazionale Superiore di Studi Avanzati, Triest: SISSA Digital Library (SDL)",5598,it,2009-01-08
1276,Cornell Univ. Library: Historical Math Monographs,634,us,2009-01-08
1277,Univ. Peruana de Ciencas Aplicadas (UPC): Cybertis Perú,534,pe,2009-01-07
1278,"The Depot (Host: EDINA, Univ. of Edinburgh)",518,uk,2009-01-07
1279,Illinois Wesleyan Univ.: Digital Commons@IWU,7934,us,2009-01-07
1280,Connexions (Lernmaterialien),21669,us,2009-01-07
1281,Fordham Univ.: DigitalResearch@Fordham,2755,us,2008-12-12
1282,Florida International University: Digital Commons@FIU,3028,us,2008-12-12
1283,Università di Cagliari: UniCA Eprints,716,it,2008-12-11
1284,Univ. of Otago (New Zealand): Cardrona eprint server,35,nz,2008-12-11
1285,Southern Illinois University Carbondale: OpenSUIC,7192,us,2008-12-11
1286,"Queensland University of Technology, Brisbane: Sugar Industry Collection",58,au,2008-12-11
1287,"National Centre for Catalysis Research (NCCR, Indien): Catalysis Database",1830,in,2008-12-11
1288,Nano Archive - International Cooperation Partner Countries (ICPC) Nanonet,8874,org,2008-12-11
1289,"LOUISiana Digital Library (LDL, Host: The Louisiana Library Network)",219533,us,2008-12-11
1290,California Institute of Technology: Engineering and Science Online (CaltechES),4261,us,2008-12-11
1291,Univ. of Massachusetts:  ScholarWorks@UMass Amherst,29392,us,2008-12-10
1292,Univ. de Girona: DUGiDocs,5502,es,2008-12-10
1293,OUKA - Osaka Univ. Knowledge Archive / 大阪大学学術情報庫リポジトリ,21893,jp,2008-12-10
1294,Kochi Univ. of Technology Academic Resource Repository / 高知工科大学学術情報リポジトリ,708,jp,2008-12-10
1295,Isfahan Univ. of Medical Sciences: MUI Periodicals / مجلات دانشگاه علوم پزشکی اصفها,2509,ir,2008-12-10
1296,"Infomotions, Inc.: Alex Catalogue of Electronic Texts",13764,us,2008-12-10
1297,Archivaria - the journal of the Association of Canadian Archivists (ACA),2476,ca,2008-12-10
1298,Univ. Politècnica de Catalunya: Revistes i Congressos UPC,9450,es,2008-12-08
1299,"Pronetos, Inc.: Global Research Archive (GRA)",4,us,2008-12-08
1300,National Chiao Tung University Institutional Repository (NCTUIR) / 國立交通大學,45560,tw,2008-12-08
1301,Biblioteca Virtual de Derecho Aragonés (BVDA),9757,es,2008-12-08
1302,Univ. College London: UCL Adastral Park Repository,35,uk,2008-11-25
1303,UNESCO-IHE Inst. for Water Education,110,nl,2008-11-25
1304,Symposcience.org (Frankreich),770,fr,2008-11-25
1305,Sprouts - Working Papers on Information Systems (E-Journal),502,nl,2008-11-25
1306,HR Wallingford Ltd.: ePrints at HR Wallingford,396,uk,2008-11-25
1307,First International Conference of Young Urban Researchers (FICYUrb),235,pt,2008-11-25
1308,Euskomedia: Hedatuz,8133,es,2008-11-25
1309,Dialnet: Theses (Host: Universidad de La Rioja),2833,es,2008-11-25
1310,Univ. degli studi di Sassari: UnissResearch,7223,it,2008-11-24
1311,Univ. Bremen: FOREX - Forschungs- und Expertendatenbank / Research- and Expertdatabase,1616,de,2008-11-24
1312,UBIR: Univ. of Bolton Institutional Repository,422,uk,2008-11-24
1313,TU Berlin: EPrints Fakultät II (Physikalische Institute),249,de,2008-11-24
1314,Tonos Digital - Revista Electrónica de Estudios Filológicos,498,es,2008-11-24
1315,Technische Universität Darmstadt: tuprints,1895,de,2008-11-24
1316,Sveriges Lantbruksuniv. (SLU): Epsilon Open Archive,3631,se,2008-11-24
1317,Library of ΤΕΙ (Technological Educational Inst.) of Western Macedonia / Τεχνολογικό Εκπαιδευτικό Ιδρυμα Δυτικής Μακεδονίας,129,gr,2008-11-24
1318,Glyndŵr University Wrexham: Research Online / Prifysgol Glyndŵr Wrecsam,293,uk,2008-11-24
1319,B-Salut (Barcelona): Research and Scholarship,189,es,2008-11-24
1320,"Via Sapientiae - The Institutional Repository at DePaul Univ., Chicago",3151,us,2008-11-21
1321,Scholarly Commons at Miami Univ.,370,us,2008-11-21
1322,Marquette Univ.: e-Publications@Marquette,6448,us,2008-11-21
1323,Johnson County Community College: ScholarSpace @ JCCC,497,us,2008-11-21
1324,Johnson & Wales Univ. (USA): Scholar's Archive@J & W,1635,us,2008-11-21
1325,Center for Florida Local Government Excellence: CFLGE Digital Commons,73,us,2008-11-21
1326,"Universidade do Porto, Faculdade de Engenharia: SDI - Serviços de Documentação e Informação",11201,pt,2008-11-19
1327,Univ. degli Studi Padova: PaDUA@thesis (Padova Digital Univ. Archive),32081,it,2008-11-19
1328,Perpustakaan Sultanah Bahiyah Universiti Utara Malaysia: UUM IRepository,4337,my,2008-11-19
1329,Universidad Mayor de San Andrés (UMSA): Cybertesis Bolivia,14,bo,2008-11-17
1330,WikiBooks - Inhaltsoffene Lehrbücher,176045,org,2008-09-25
1331,Univ. Nacional de Colombia (UNal): Revistas,14284,co,2008-08-29
1332,"UCLA Library (Univ. of California, Los Angeles): Archive of Popular American Music (APAM)",6082,us,2008-08-29
1333,ePrints@OUDIR (Okayama Univ. Digital Information Repository) / 世界の中の岡山大学学術成果リポジトリ,30453,jp,2008-08-29
1334,"PolicyArchive (Host: Center for Governmental Studies, L.A.)",21919,us,2008-08-27
1335,Cairn (E-Journals),186053,fr,2008-08-27
1336,Univ. of Glasgow: Glasgow DSpace Service,652,uk,2008-08-26
1337,RevEl@Nice - Revues électroniques de l'université de Nice,1215,fr,2008-08-26
1338,National Sun Yat-sen University Institutional Repository (NSYUIR) / 國立中山大學機構典藏,21117,tw,2008-08-26
1339,Kinki Univ. Academic Resource Repository / 近畿大学学術情報リポジトリ,8176,jp,2008-08-26
1340,"IAMC Publications (Istituto per l'ambiente marino costiero, CNR)",1,it,2008-08-26
1341,Biblioteka Cyfrowa Miejskiej Biblioteki Publicznej w Sanoku / Municipal Public Library Sanok: Digital Library,736,pl,2008-08-26
1342,"ISTI Publications (Institute of Information Science and Technology ""Alessandro Faedo"", CNR)",4631,it,2008-08-25
1343,"ISEM Publications (Istituto di Storia dell'Europa Mediterranea, CNR)",6,it,2008-08-25
1344,"IMATI Publications (Istituto per la Matematica Applicata e Tecnologie Informatiche, CNR)",122,it,2008-08-25
1345,"IIT Pubblicazioni (Istituto di informatica e telematica, CNR)",335,it,2008-08-25
1346,"IFC Publications (Istituto di Fisiologia clinica, CNR)",512,it,2008-08-25
1347,"IENI Publications (Istituto per l'Energetica e le Interfasi, CNR)",101,it,2008-08-25
1348,"IBF Publications (Istituto di Biofisica, CNR)",4,it,2008-08-25
1349,The Univ. of Arizona Library Digital Collections,28922,us,2008-08-22
1350,Kyoto Institute of Technology: KIT Academic Repository / KIT学術成果コレクション,763,jp,2008-08-22
1351,DSpace@WUSM - Digital Repository of the Washington Univ. School of Medicine (St. Louis),3284,us,2008-08-22
1352,"Northwestern Univ. Library, Evanston (Illinois): World War II Poster Collection",358,us,2008-08-21
1353,"Gazi Üniversitesi, Ankara: Açık Arşiv",5547,tr,2008-08-21
1354,"Bryn Mawr, Haverford, and Swarthmore Colleges: Triceretops (TriCollege Libraries Institutional Repository)",2360,us,2008-08-21
1355,"Academic Research Repository at the Institute of Developing Economies, Japan (ARRIDE) / アジア経済研究所 学術研究リポジトリ",893,jp,2008-08-21
1356,Gifu Univ. Institutional Repository / 岐阜大学機関リポジトリ,6968,jp,2008-08-20
1357,"Environmental Cancer Risk, Nutrition and Individual Susceptibility: ECNIS Repository",469,eu,2008-08-20
1358,Ecole Polytechnique Fédérale de Lausanne (EPFL): Reproducible Research Repository,21,ch,2008-08-20
1359,Arizona-Sonora Desert Museum:  ASDM Sonoran Desert Digital Library,6113,us,2008-08-20
1360,Utah State Archives Digital Collections,26344,us,2008-08-19
1361,University of South Australia: arrow@UniSA,25790,au,2008-08-19
1362,"University of Newcastle, Australia: NOVA",10843,au,2008-08-19
1363,Universidade Federal do Rio Grande do Sul (Porto Alegre): LUME,47829,br,2008-08-19
1364,Univ. of Alabama Libraries Digital Collections,10321,us,2008-08-19
1365,KNAME Digital Repository / Цифровий репозиторій ХНАМГ (Харківської національної академії міського господарства),13880,ua,2008-08-19
1366,JEM - Joining Educational Mathematics: eContentPlus Thematic Network,77,eu,2008-08-19
1367,The University of New Mexico (UNM): New Mexico's Digital Collections,25165,us,2008-08-18
1368,"The Univ. of Montana, Missoula: ETDP Collection (Electronic Theses, Dissertations, and Professional Papers)",955,us,2008-08-18
1369,Sterling and Francine Clark Art Inst.: Library Digital Collections Testbed,412,us,2008-08-18
1370,Southern Utah Univ. (SUU): Sherratt Library - Digitization,20664,us,2008-08-18
1371,Lietuvos virtuali biblioteka bei visateksčių dokumentų duomenų bazės sukūrimas,26494,lt,2008-08-18
1372,Colorado State Univ.: CSU Libraries - Digital Collections,590,us,2008-08-18
1373,Arizona State Univ.: ASU Libraries - Colorado River Central Arizona Project Collection,132,us,2008-08-18
1374,Project Gutenberg (PG),39926,us,2008-08-13
1375,Zentral- und Hochschulbibliothek Luzern: zhb-dokumentenserver,413,ch,2008-08-12
1376,The University of Melbourne: Digital Repository,13274,au,2008-08-08
1377,Univ. Politécnica de Cartagena: Repositorio Digital UPCT,2442,es,2008-08-07
1378,The University of Warwick: WRAP - Warwick Research Archive Portal,45075,uk,2008-08-07
1379,"National Academy of Sciences of Ukraine, Institute of Software Systems: ISS Library / Національна академія наук України. Інст. програмних систем: Бібліотека ІПС",575,ua,2008-08-07
1380,DIR - Domena Internetowych Repozytoriów Wiedzy / DIR - Internet Domain Repository Knowledge,121,pl,2008-08-07
1381,Consiglio Nazionale delle Ricerche: CNR Solar (Scientific Open-access Literature Archive and Repository),2000,it,2008-08-07
1382,"The Swedish School of Sport and Health Sciences, Stockholm: Publikationsdatabas (DiVA - Digitala Vetenskapliga Arkivet)",823,se,2008-08-01
1383,"Norges Teknisk-Naturvitenskapelige Universitet (NTNU), Trondheim: Publikasjoner (DiVA - Digitala Vetenskapliga Arkivet)",5513,no,2008-08-01
1384,Mälardalens Högskola Eskilstuna Västerås: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),3382,se,2008-08-01
1385,Mittuniversitet (Schweden): Publikationer (DiVA - Digitala Vetenskapliga Arkivet),1984,se,2008-08-01
1386,Linköping University Electronic Press (LiU E-Press),12156,se,2008-08-01
1387,"Kungliga Tekniska Högskolan, Stockholm: Publikationsdatabas DiVA (Digitala Vetenskapliga Arkivet)",8216,se,2008-08-01
1388,Karlstads Universitet: Elektroniska Publikationer (DiVA - Digitala Vetenskapliga Arkivet),4234,se,2008-08-01
1389,Högskolan i Jönköping: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),3127,se,2008-08-01
1390,Högskolan i Gävle: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),3737,se,2008-08-01
1391,dilibri (Landesbibliothekszentrum Rheinland-Pfalz),3557,de,2008-08-01
1392,Örebro Universitet: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),2738,se,2008-07-31
1393,Uppsala Universitet: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),12252,se,2008-07-31
1394,Umeå Univ.: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),5444,se,2008-07-31
1395,Södertörns Högskola: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),3932,se,2008-07-31
1396,Stockholms Universitet: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),7966,se,2008-07-31
1397,Högskolan i Skövde: Publikationer (DiVA - Digitala Vetenskapliga Arkivet),2300,se,2008-07-31
1398,California Institute of Technology: Caltech Archives Finding Aids Online,14,us,2008-07-31
1399,Podkarpacka Biblioteka Cyfrowa (PBC) / Podkarpacka Digital Library,7346,pl,2008-07-30
1400,National Cheng Kung University Institutional Repository (NCKUIR),62722,tw,2008-07-30
1401,Ciência & Ensino (E-Journal),134,br,2008-07-30
1402,Boletim de Medicina Veterinária (E-Journal),23,br,2008-07-30
1403,Uralskij Gosudarstvennyj Univ.: Ėlektronnom Archiv URGU / Уральский государственный университет: Электронном архив УрГУ,3613,ru,2008-07-29
1404,Scientific and Environmental ROV Partnership using Existing iNdustrial Technology: SERPENT image & video database,1810,uk,2008-07-29
1405,Portal Revcom - Revistas Eletrônicas de Ciências da Comunicação,5003,br,2008-07-29
1406,Lunds Univ.: Avhandlingar och publikationer  (Lunds Univ. publikationer - LUP),99090,se,2008-07-29
1407,Chr. Michelsen Institute (CMI): Bergen Open Research Archive (BORA),434,no,2008-07-29
1408,Aletheia University Institutional Repository (AUIR) / 真理大學,3036,tw,2008-07-29
1409,Zentral- und Landesbibliothek Berlin (ZLB): Dokumentenserver,13583,de,2008-07-24
1410,University of Illinois at Urbana-Champaign: Digital Services and Development Unit (DSD),18407,us,2008-07-24
1411,"Universidade Fernando Pessoa, Porto: B-Digital",2297,pt,2008-07-24
1412,Univ. of Glasgow: Glasgow Theses Service,2466,uk,2008-07-24
1413,Univ. de Barcelona: Dipòsit Digital de la UB,6946,es,2008-07-24
1414,"The University of New South Wales, Sydney: UNSWorks",2428,au,2008-07-24
1415,The Univ. of Northampton: NECTAR - Northampton Electronic Collection of Theses and Research,2664,uk,2008-07-24
1416,TAO - TRUST Academy Online Portal (Team for Research in Ubiquitous Secure Technology),209,us,2008-07-24
1417,SeReNa (System for e-Reviews @ Univ. Of Naples),172,it,2008-07-24
1418,"Rhodes College, Memphis: Digital Repository",12175,us,2008-07-24
1419,Purdue University: e-Pubs,25971,us,2008-07-24
1420,Publikationsserver der Univ. Regensburg,20311,de,2008-07-24
1421,NZETC - New Zealand Electronic Text Centre (Host: Victoria Univ. of Wellington),28224,nz,2008-07-24
1422,National Tsing Hua University Institutional Repository (NTHUR) / 國立清華大學圖書館機構典藏,51956,tw,2008-07-24
1423,"King Fahd Univ. of Petroleum & Minerals, Saudi Arabia: KFUPM ePrints / جامعة الملك فهد للبترول والمعادن",4463,sa,2008-07-24
1424,"Indiana Historical Society, Indianapolis: Digital Image Library",42601,us,2008-07-24
1425,Illinois State Library: Illinois Digital Archives,187572,us,2008-07-24
